#organism	abbrev	total genes	total length	num chr	institution	reference	rel. date	mod. date	update	gtps	refseq	gbk(genbank)	source
Acidilobus saccharovorans 345-15	asc	1,505	1,496,453	1	Centre Bioengineering RAS	Appl. Environ. Microbiol. 76 (16), 5652-5657 (2010)	2010-08-06	2014-12-17	2015-04-24		NC_014374	CP001742	refseq
Caldisphaera lagunensis DSM 15908	clg	1,478	1,546,846	1	JGI	Unpublished	2012-12-10	2014-12-17	2015-04-24		NC_019791	CP003378	refseq
Aeropyrum camini SY1 = JCM 12091 SY1	acj	1,645	1,595,994	1		Appl. Environ. Microbiol. 79 (19), 5891-5898 (2013)	2013-09-27	2014-12-18	2015-04-24		NC_022521	AP012489	refseq
Aeropyrum pernix K1	ape	1,700	1,669,696	1	NITE	DNA Res. 6, 83-101 (1999)	1999-04-30	2014-12-17	2015-04-24		NC_000854	BA000002	refseq
Desulfurococcus fermentans DSM 16532	dfd	1,421	1,384,116	1	DOE Joint Genome Institute	J. Bacteriol. 194 (20), 5703-5704 (2012)	2012-06-07	2014-12-17	2015-04-24		NC_018001	CP003321	refseq
Desulfurococcus kamchatkensis 1221n	dka	1,491	1,365,223	1	Centre 'Bioengineering' RAS	J. Bacteriol. (2009) In press	2008-12-24	2014-12-16	2015-04-24		NC_011766	CP001140	refseq
Desulfurococcus mucosus DSM 2162	dmu	1,353	1,314,639	1	US DOE Joint Genome Institute (JGI-PGF)	Unpublished	2011-01-20	2014-12-17	2015-04-24		NC_014961	CP002363	refseq
Ignicoccus hospitalis KIN4/I	iho	1,436	1,297,538	1	DOE Joint Genome Institute	Unpublished	2007-08-29	2014-12-16	2015-04-24		NC_009776	CP000816	refseq
Ignisphaera aggregans DSM 17230	iag	1,944	1,875,953	1	DOE Joint Genome Institute	Unpublished	2010-08-24	2014-12-18	2015-04-24		NC_014471	CP002098	refseq
Staphylothermus hellenicus DSM 12710	shc	1,647	1,580,347	1	DOE Joint Genome Institute	Unpublished	2010-02-04	2014-12-17	2015-04-24		NC_014205	CP002051	refseq
Staphylothermus marinus F1	smr	1,624	1,570,485	1	DOE Joint Genome Institute	Unpublished	2007-02-21	2014-12-17	2015-04-24		NC_009033	CP000575	refseq
Thermogladius cellulolyticus 1633	thg	1,413	1,356,318	1	Centre Bioengineering RAS	J. Bacteriol. 194 (16), 4446-4447 (2012)	2012-05-25	2014-12-17	2015-04-24		NC_017954	CP003531	refseq
Thermosphaera aggregans DSM 11486	tag	1,399	1,316,595	1	DOE Joint Genome Institute	Unpublished	2010-05-17	2014-12-17	2015-04-24		NC_014160	CP001939	refseq
Hyperthermus butylicus DSM 5456	hbu	1,661	1,667,163	1	University of Copenhagen	Archaea (2007) In press	2007-01-22	2014-12-16	2015-04-24		NC_008818	CP000493	refseq
Pyrolobus fumarii 1A	pfm	1,971	1,843,267	1	DOE Joint Genome Institute	Stand Genomic Sci 4 (3), 381-392 (2011)	2011-08-12	2014-12-17	2015-04-24		NC_015931	CP002838	refseq
Fervidicoccus fontis Kam940	ffo	1,385	1,319,206	1	Centre Bioengineering RAS	Unpublished	2012-04-10	2014-12-17	2015-04-24		NC_017461	CP003423	refseq
Acidianus hospitalis W1	aho	2,403	2,137,654	1	University of Copenhagen	Extremophiles 15 (4), 487-497 (2011)	2011-05-12	2014-12-17	2015-04-24		NC_015518	CP002535	refseq
Metallosphaera cuprina Ar-4	mcn	2,036	1,840,348	1	Environmental Microbiology Research Center (EMRC)	J. Bacteriol. 193 (13), 3387-3388 (2011)	2011-04-19	2014-12-17	2015-04-24		NC_015435	CP002656	refseq
Metallosphaera sedula CuR1	gm03634	2,252	2,191,492	1		J. Bacteriol. 196 (20), 3562-3570 (2014)	2014-09-04	2014-10-02	2016-05-19			CP008822	gbk
Metallosphaera sedula DSM 5348	mse	2,297	2,191,517	1	DOE Joint Genome Institute	Unpublished	2007-04-25	2014-12-16	2015-04-24		NC_009440	CP000682	refseq
Sulfolobus acidocaldarius DSM 639	sai	2,271	2,225,959	1	University of Copenhagen	J. Bacteriol. 187 (14), 4992-4999 (2005)	2005-07-08	2014-12-17	2015-04-24		NC_007181	CP000077	refseq
Sulfolobus acidocaldarius N8	sacn	2,275	2,176,362	1	University of Cincinnati	ISME J 6 (8), 1613-1616 (2012)	2013-02-08	2014-12-18	2015-04-24		NC_020246	CP002817	refseq
Sulfolobus acidocaldarius Ron12/I	sacr	2,317	2,223,983	1	University of Cincinnati	ISME J 6 (8), 1613-1616 (2012)	2013-02-08	2014-12-18	2015-04-24		NC_020247	CP002818	refseq
Sulfolobus acidocaldarius SUSAZ	sacs	2,028	2,061,920	1		Unpublished	2013-12-16	2015-03-23	2016-05-19		NC_023069	CP006977	refseq
Sulfolobus islandicus HVE10/4	sih	2,988	2,655,201	1	Archaea Centre, Department of Biology, University of Copenhagen, 2200 Copenhagen N, Denmark	J. Bacteriol. (2011) In press	2011-02-16	2014-12-17	2015-04-24		NC_017275	CP002426	refseq
Sulfolobus islandicus L.D.8.5	sii	3,249	2,748,647	2	DOE Joint Genome Institute	Unpublished	2010-01-22	2014-12-17	2015-04-24		NC_013769,NC_013770	CP001731,CP001732	refseq
Sulfolobus islandicus L.S.2.15	sis	3,153	2,736,272	1	DOE Joint Genome Institute	Unpublished	2009-04-24	2014-12-17	2015-04-24		NC_012589	CP001399	refseq
Sulfolobus islandicus LAL14/1	sic	2,601	2,465,177	1	Pasteur Institute, Paris, France	Open Biol 3 (4), 130010 (2013)	2013-04-15	2014-12-18	2015-04-24		NC_021058	CP003928	refseq
Sulfolobus islandicus M.14.25	sia	2,930	2,608,832	1	DOE Joint Genome Institute	Unpublished	2009-04-24	2014-12-17	2015-04-24		NC_012588	CP001400	refseq
Sulfolobus islandicus M.16.2	gm02973	2,589	2,645,252	1		PLoS Biol. 10 (2), E1001265 (2012)	2012-01-25	2015-03-16	2016-05-19		NZ_AHJK01000001	AHJK01000001	refseq
Sulfolobus islandicus M.16.23	gm02974	2,618	2,601,131	1		PLoS Biol. 10 (2), E1001265 (2012)	2012-01-25	2015-03-16	2016-05-19		NZ_AHJO01000001	AHJO01000001	refseq
Sulfolobus islandicus M.16.27	sim	3,003	2,692,402	1	DOE Joint Genome Institute	Unpublished	2009-04-29	2014-12-17	2015-04-24		NC_012632	CP001401	refseq
Sulfolobus islandicus M.16.4	sid	2,917	2,586,647	1	DOE Joint Genome Institute	Proc. Natl. Acad. Sci. U.S.A. 106 (21), 8605-8610 (2009)	2009-05-27	2014-12-17	2015-04-24		NC_012726	CP001402	refseq
Sulfolobus islandicus M.16.40	gm02976	2,614	2,664,783	1		PLoS Biol. 10 (2), E1001265 (2012)	2012-01-25	2015-03-16	2016-05-19		NZ_AHJQ01000001	AHJQ01000001	refseq
Sulfolobus islandicus M.16.43	gm02975	2,614	2,589,840	1		PLoS Biol. 10 (2), E1001265 (2012)	2012-01-25	2015-03-16	2016-05-19		NZ_AHJR01000001	AHJR01000001	refseq
Sulfolobus islandicus M.16.47	gm02972	2,574	2,637,559	1		PLoS Biol. 10 (2), E1001265 (2012)	2012-01-25	2015-03-16	2016-05-19		NZ_AHJT01000001	AHJT01000001	refseq
Sulfolobus islandicus REY15A	sir	2,883	2,522,992	1	State Key Laboratory of Microbial Resources, Institute of Microbiology, CAS, Beijing, P. R. China	J. Bacteriol. (2011) In press	2011-02-16	2014-12-17	2015-04-24		NC_017276	CP002425	refseq
Sulfolobus islandicus Y.G.57.14	siy	3,191	2,702,058	1	DOE Joint Genome Institute	Unpublished	2009-04-29	2014-12-17	2015-04-24		NC_012622	CP001403	refseq
Sulfolobus islandicus Y.N.15.51	sin	3,406	2,854,410	2	DOE Joint Genome Institute	Unpublished	2009-04-29	2014-12-17	2015-04-24		NC_012623,NC_012624	CP001404,CP001405	refseq
Sulfolobus solfataricus 98/2 SULC	ssof	2,692	2,727,312	1		Genome Announc 3 (3), e00549-15 (2015)	2015-04-02	2015-06-10	2016-05-19		NC_007243		gbk
Sulfolobus solfataricus SULA	gm03665	2,771	2,727,337	1		Genome Announc 3 (3) (2015)	2015-04-02	2015-06-26	2016-05-19		NZ_CP011057	CP011057	refseq
Sulfolobus solfataricus SULB	gm03666	2,776	2,727,261	1		Genome Announc 3 (3) (2015)	2015-04-02	2015-06-26	2016-05-19		NZ_CP011055	CP011055	refseq
Sulfolobus solfataricus 98/2	sol	3,036	2,668,974	1	US DOE Joint Genome Institute (JGI-PGF)	Unpublished	2009-10-20	2014-12-17	2015-04-24		NC_017274	CP001800	refseq
Sulfolobus solfataricus P2	sso	3,344	2,992,245	1	European/Canadian Consortium	Proc. Natl. Acad. Sci. USA 98, 7835-7840 (2001)	2001-07-03	2014-12-17	2015-04-24		NC_002754	AE006641	refseq
Sulfolobus tokodaii 7	sto	3,030	2,694,756	1	NITE	DNA Res. 8, 123-140 (2001)	2001-08-31	2014-12-17	2015-04-24		NC_003106	BA000023	refseq
Thermofilum carboxyditrophus 1505	tcb	1,924	1,754,190	1		(in) EXTREMOPHILES; (2010)	2015-01-02	2015-01-02	2016-05-19		NC_007243		gbk
Thermofilum pendens Hrk 5	tpe	1,889	1,813,393	2	DOE Joint Genome Institute	Unpublished	2006-12-18	2014-12-16	2015-04-24		NC_008698,NC_008696	CP000505,CP000506	refseq
Thermofilum sp. 1807-2	thf	1,455	1,611,988	1		Unpublished	2015-05-07	2015-05-07	2016-05-19		NC_007243		gbk
Thermofilum sp. 1910b	thb	1,896	1,750,259	1		Unpublished	2013-08-13	2014-12-18	2015-04-24		NC_022093	CP006646	refseq
Caldivirga maquilingensis IC-167	cma	1,995	2,077,567	1	DOE Joint Genome Institute	Unpublished	2007-10-05	2014-12-17	2015-04-24		NC_009954	CP000852	refseq
Pyrobaculum aerophilum IM2	pai	2,637	2,222,430	1	UCLA/CalTech	Proc. Natl. Acad. Sci. U.S.A. 99 (2), 984-989 (2002)	2002-01-22	2014-12-16	2015-04-24		NC_003364	AE009441	refseq
Pyrobaculum arsenaticum DSM 13514	pas	2,359	2,121,076	1	DOE Joint Genome Institute	Unpublished	2007-04-20	2014-12-16	2015-04-24		NC_009376	CP000660	refseq
Pyrobaculum calidifontis JCM 11548	pcl	2,181	2,009,313	1	DOE Joint Genome Institute	Unpublished	2007-02-27	2014-12-16	2015-04-24		NC_009073	CP000561	refseq
Pyrobaculum islandicum DSM 4184	pis	2,055	1,826,402	1	DOE Joint Genome Institute	Unpublished	2006-12-20	2014-12-16	2015-04-24		NC_008701	CP000504	refseq
Thermoproteus neutrophilus V24Sta	tne	2,005	1,769,823	1	DOE Joint Genome Institute	Unpublished	2008-03-27	2014-12-16	2015-04-24		NC_010525	CP001014	refseq
Pyrobaculum oguniense TE7	pog	2,835	2,452,920	2	UCSC-Lowelab	Unpublished	2012-02-10	2014-12-17	2015-04-24		NC_016885,NC_016886	CP003316,CP003317	refseq
Pyrobaculum sp. 1860	pyr	2,824	2,467,972	1	Centre Bioengineering RAS	J. Bacteriol. 194 (3), 727-728 (2012)	2011-11-10	2014-12-17	2015-04-24		NC_016645	CP003098	refseq
Thermoproteus tenax Kra 1	ttn	2,076	1,841,542	1	University of Duisburg-Essen, Faculty of Chemistry, Molecular Enzyme Technology and Biochemistry	PLoS ONE 6 (10), E24222 (2011)	2011-10-06	2014-12-17	2015-04-24		NC_016070	FN869859	refseq
Thermoproteus uzoniensis 768-20	tuz	2,194	1,936,063	1	Center Bioengineering RAS	J Bacteriology Epub	2011-03-28	2014-12-17	2015-04-24		NC_015315	CP002590	refseq
Vulcanisaeta distributa DSM 14429	vdi	2,530	2,374,137	1	DOE Joint Genome Institute	Unpublished	2010-09-22	2014-12-17	2015-04-24		NC_014537	CP002100	refseq
Vulcanisaeta moutnovskia 768-28	vmo	2,387	2,298,983	1	Centre Bioengineering RAS	J. Bacteriol. 193 (9), 2355-2356 (2011)	2011-02-22	2014-12-17	2015-04-24		NC_015151	CP002529	refseq
Archaeoglobus fulgidus DSM 4304	afu	2,484	2,178,400	1	TIGR	Nature 390 (6658), 364-370 (1997)	1997-11-27	2014-12-16	2015-04-24		NC_000917	AE000782	refseq
Archaeoglobus fulgidus DSM 8774	afg	2,489	2,316,287	1		Unpublished	2014-07-28	2015-06-25	2016-05-19		NZ_CP006577	CP006577	gbk
Archaeoglobus profundus DSM 5631	apo	1,846	1,563,423	2	DOE Joint Genome Institute	Unpublished	2010-01-19	2014-12-17	2015-04-24		NC_013741,NC_013742	CP001857,CP001858	refseq
Archaeoglobus sulfaticallidus PM70-1	ast	2,216	2,076,931	1	University of Bergen, Centre for Geobiology, Department of Biology	Submitted (01-MAY-2013) National Center for Biotechnology	2013-04-30	2014-12-18	2015-04-24		NC_021169	CP005290	refseq
Archaeoglobus veneficus SNP6	ave	2,112	1,901,943	1	US DOE Joint Genome Institute (JGI-PGF)	Unpublished	2011-03-31	2014-12-17	2015-04-24		NC_015320	CP002588	refseq
Ferroglobus placidus DSM 10642	fpl	2,526	2,196,266	1	DOE Joint Genome Institute	Unpublished	2010-02-16	2014-12-17	2015-04-24		NC_013849	CP001899	refseq
Geoglobus acetivorans SBH6	gm03630	2,145	1,860,815	1		Appl. Environ. Microbiol. 81 (3), 1003-1012 (2015)	2014-12-04	2015-06-25	2016-05-19		NZ_CP009552	CP009552	refseq
Geoglobus ahangari 234	gm03631	1,977	1,770,093	1		Unpublished	2015-05-11	2015-06-25	2016-05-19		NZ_CP011267	CP011267	refseq
